t,px,py,pz,qw,qx,qy,qz
1.7,0.192702,0.509806,0.21208,0.825711,0.369813,0.410074,0.115235
1.708333,0.190851,0.509467,0.211525,0.826033,0.368899,0.40992,0.116397
1.716667,0.18909,0.509301,0.211245,0.826359,0.367813,0.410278,0.116258
1.725,0.187355,0.509023,0.210778,0.826664,0.366687,0.410486,0.116916
1.733333,0.185496,0.508675,0.210253,0.827028,0.36571,0.41028,0.118117
1.741667,0.183701,0.508393,0.209869,0.827301,0.364891,0.410315,0.118618
1.75,0.181953,0.508174,0.209498,0.827704,0.363298,0.410849,0.118844
1.758333,0.180144,0.507868,0.209087,0.827915,0.362454,0.410979,0.119498
1.766667,0.178212,0.507507,0.208634,0.828171,0.36181,0.41073,0.12053
1.775,0.176479,0.507309,0.208569,0.828359,0.363409,0.408661,0.121457
1.783333,0.174581,0.506955,0.207894,0.828767,0.359294,0.411465,0.121451
1.791667,0.172828,0.506616,0.207418,0.829193,0.357839,0.411607,0.122351
1.8,0.170842,0.506275,0.207217,0.828646,0.358957,0.411759,0.122267
1.808333,0.168984,0.505935,0.2068,0.828992,0.357712,0.411907,0.123075
1.816667,0.167186,0.505614,0.206252,0.829767,0.354777,0.412494,0.124371
1.825,0.165508,0.505228,0.205577,0.830241,0.352158,0.413527,0.125218
1.833333,0.163504,0.504892,0.205433,0.83019,0.352459,0.413166,0.1259
1.841667,0.161605,0.504497,0.20517,0.829746,0.353206,0.413351,0.126127
1.85,0.159829,0.504121,0.204593,0.830425,0.350265,0.414083,0.127452
1.858333,0.158065,0.503718,0.204109,0.830604,0.349007,0.414509,0.128349
1.866667,0.15616,0.503313,0.203709,0.830603,0.34789,0.415216,0.129097
1.875,0.154452,0.502959,0.203594,0.830904,0.348152,0.413948,0.130523
1.883333,0.15248,0.502441,0.202917,0.830067,0.34734,0.416361,0.130335
1.891667,0.15072,0.502012,0.202287,0.830715,0.344316,0.417144,0.131721
1.9,0.148958,0.501557,0.201793,0.830639,0.343133,0.417981,0.132631
1.908333,0.147346,0.501146,0.201658,0.830892,0.34315,0.417021,0.134013
1.916667,0.145482,0.500587,0.200879,0.82979,0.343102,0.419338,0.133737
1.925,0.143952,0.500131,0.20016,0.830427,0.339603,0.420381,0.135423
1.933333,0.142382,0.49971,0.199969,0.830678,0.341037,0.418348,0.136572
1.941667,0.140735,0.499176,0.198998,0.83014,0.337437,0.422192,0.136961
1.95,0.139308,0.498695,0.198375,0.829851,0.336646,0.423146,0.137711
1.958333,0.137891,0.498224,0.19766,0.829811,0.335234,0.424048,0.13862
1.966667,0.136522,0.49766,0.196883,0.82938,0.334739,0.424843,0.139951
1.975,0.135169,0.497283,0.196266,0.829141,0.333861,0.425997,0.139959
1.983333,0.134015,0.496713,0.195325,0.828856,0.333043,0.426748,0.141304
1.991667,0.132918,0.496308,0.194514,0.828555,0.332187,0.427972,0.141381
2.0,0.131851,0.495839,0.193557,0.828257,0.331406,0.42899,0.141876
2.008333,0.130683,0.495351,0.192765,0.827179,0.333789,0.429426,0.141257
2.016667,0.129802,0.494854,0.191601,0.826849,0.33311,0.430483,0.141574
2.025,0.129196,0.494405,0.190574,0.827782,0.330057,0.430258,0.143935
